iter	Passed	Remaining
400	29404	7259
401	29479	7186
402	29560	7114
403	29641	7043
404	29718	6970
405	29793	6898
406	29872	6825
407	29948	6753
408	30022	6679
409	30086	6604
410	30157	6530
411	30228	6456
412	30304	6383
413	30385	6311
414	30475	6241
415	30554	6169
416	30627	6096
417	30700	6022
418	30770	5948
419	30843	5874
420	30916	5801
421	30992	5728
422	31056	5653
423	31134	5580
424	31210	5507
425	31292	5435
426	31366	5362
427	31433	5287
428	31501	5213
429	31570	5139
430	31639	5065
431	31708	4991
432	31774	4916
433	31846	4843
434	31924	4770
435	31992	4696
436	32059	4621
437	32127	4547
438	32196	4473
439	32263	4399
440	32333	4325
441	32402	4251
442	32473	4178
443	32540	4104
444	32612	4030
445	32681	3956
446	32747	3882
447	32812	3808
448	32889	3735
449	32963	3662
450	33032	3588
451	33102	3515
452	33169	3441
453	33235	3367
454	33304	3293
455	33372	3220
456	33437	3146
457	33501	3072
458	33568	2998
459	33637	2924
460	33706	2851
461	33774	2777
462	33837	2704
463	33911	2631
464	33982	2557
465	34051	2484
466	34118	2410
467	34185	2337
468	34252	2263
469	34323	2190
470	34394	2117
471	34460	2044
472	34527	1970
473	34595	1897
474	34665	1824
475	34734	1751
476	34806	1678
477	34878	1605
478	34955	1532
479	35032	1459
480	35110	1386
481	35175	1313
482	35247	1240
483	35320	1167
484	35395	1094
485	35472	1021
486	35548	948
487	35616	875
488	35696	802
489	35771	730
490	35846	657
491	35927	584
492	36013	511
493	36095	438
494	36168	365
495	36243	292
496	36318	219
497	36391	146
498	36461	73
499	36529	0
